episode,start,end,frames,task
2025-12-24-19-09-03-435000,0,1256,1256,cup_on_saucer
2025-12-24-19-09-47-620000,0,1188,1188,cup_on_saucer
2025-12-24-19-10-16-556000,0,895,895,cup_on_saucer
2025-12-24-19-10-45-284000,0,743,743,cup_on_saucer
2025-12-24-19-11-22-281000,0,1151,1151,cup_on_saucer
2025-12-24-19-12-01-761000,0,924,924,cup_on_saucer
2025-12-24-19-12-51-291000,0,1093,1093,cup_on_saucer
2025-12-24-19-13-31-335000,0,1263,1263,cup_on_saucer
2025-12-24-19-14-12-076000,0,1442,1442,cup_on_saucer
2025-12-24-19-14-45-592000,0,864,864,cup_on_saucer
2025-12-24-19-15-23-956000,0,1098,1098,cup_on_saucer
2025-12-24-19-16-23-794000,0,1140,1140,cup_on_saucer
2025-12-24-19-19-40-723000,0,876,876,cup_on_saucer
2025-12-24-19-20-21-311000,0,1016,1016,cup_on_saucer
2025-12-24-19-21-08-833000,0,1193,1193,cup_on_saucer
2025-12-24-19-21-46-437000,0,1243,1243,cup_on_saucer
2025-12-24-19-22-19-224000,0,920,920,cup_on_saucer
2025-12-24-19-22-53-478000,0,1007,1007,cup_on_saucer
2025-12-24-19-23-39-921000,0,1619,1619,cup_on_saucer
2025-12-24-19-24-33-457000,0,1223,1223,cup_on_saucer
2025-12-24-19-25-13-320000,0,1192,1192,cup_on_saucer
2025-12-24-19-25-53-355000,0,1492,1492,cup_on_saucer
2025-12-24-19-26-36-588000,0,1267,1267,cup_on_saucer
2025-12-24-19-27-13-386000,0,1191,1191,cup_on_saucer
2025-12-24-19-27-52-246000,0,860,860,cup_on_saucer
2025-12-24-19-28-28-389000,0,971,971,cup_on_saucer
2025-12-24-19-29-17-263000,0,1225,1225,cup_on_saucer
2025-12-24-19-29-53-442000,0,940,940,cup_on_saucer
2025-12-24-19-30-35-349000,0,979,979,cup_on_saucer
2025-12-24-19-31-13-624000,0,1200,1200,cup_on_saucer
2025-12-24-19-31-44-885000,0,1120,1120,cup_on_saucer
2025-12-24-19-32-24-222000,0,1284,1284,cup_on_saucer
2025-12-24-19-32-56-482000,0,1021,1021,cup_on_saucer
2025-12-24-19-33-35-512000,0,1061,1061,cup_on_saucer
2025-12-24-19-34-20-090000,0,610,610,cup_on_saucer
2025-12-24-19-35-04-037000,0,1228,1228,cup_on_saucer
2025-12-24-19-35-36-675000,0,1147,1147,cup_on_saucer
2025-12-24-19-36-56-086000,0,2763,2763,cup_on_saucer
2025-12-24-19-37-22-667000,0,991,991,cup_on_saucer
2025-12-24-21-02-28-110000,0,829,829,cup_on_saucer
2025-12-24-21-02-59-670000,0,891,891,cup_on_saucer
2025-12-24-21-03-29-655000,0,717,717,cup_on_saucer
2025-12-24-21-03-55-938000,0,717,717,cup_on_saucer
2025-12-24-21-04-26-333000,0,752,752,cup_on_saucer
2025-12-24-21-05-06-362000,0,651,651,cup_on_saucer
2025-12-24-21-05-31-121000,0,682,682,cup_on_saucer
2025-12-24-21-05-54-417000,0,628,628,cup_on_saucer
2025-12-24-21-06-22-503000,0,707,707,cup_on_saucer
2025-12-24-21-09-15-920000,0,1064,1064,cup_on_saucer
2025-12-24-21-10-58-066000,0,778,778,cup_on_saucer
2025-12-24-21-11-30-025000,0,1003,1003,cup_on_saucer
2025-12-24-21-11-59-919000,0,812,812,cup_on_saucer
2025-12-24-21-12-42-667000,0,893,893,cup_on_saucer
2025-12-24-21-13-23-617000,0,1411,1411,cup_on_saucer
2025-12-24-21-13-53-804000,0,1039,1039,cup_on_saucer
2025-12-24-21-15-12-837000,0,893,893,cup_on_saucer
2025-12-24-21-15-42-929000,0,942,942,cup_on_saucer
2025-12-24-21-16-10-949000,0,662,662,cup_on_saucer
2025-12-24-21-17-13-211000,0,782,782,cup_on_saucer
2025-12-24-21-17-46-347000,0,999,999,cup_on_saucer
2025-12-24-21-18-20-061000,0,1079,1079,cup_on_saucer
2025-12-24-21-18-54-968000,0,1073,1073,cup_on_saucer
2025-12-24-21-19-22-774000,0,755,755,cup_on_saucer
2025-12-24-21-20-03-459000,0,837,837,cup_on_saucer
2025-12-24-21-20-33-911000,0,498,498,cup_on_saucer
2025-12-24-21-21-33-674000,0,1932,1932,cup_on_saucer
2025-12-24-21-22-08-222000,0,1099,1099,cup_on_saucer
2025-12-24-21-22-38-890000,0,942,942,cup_on_saucer
2025-12-24-21-23-17-095000,0,965,965,cup_on_saucer
2025-12-24-21-24-02-620000,0,1141,1141,cup_on_saucer
2025-12-24-21-24-52-876000,0,1211,1211,cup_on_saucer
2025-12-24-21-25-42-363000,0,876,876,cup_on_saucer
2025-12-24-21-26-45-422000,0,927,927,cup_on_saucer
2025-12-24-21-27-14-335000,0,796,796,cup_on_saucer
2025-12-24-21-28-00-985000,0,1628,1628,cup_on_saucer
2025-12-24-21-28-28-463000,0,844,844,cup_on_saucer
2025-12-24-21-28-53-988000,0,732,732,cup_on_saucer
2025-12-24-21-38-10-269000,0,833,833,cup_on_saucer
2025-12-24-21-38-41-366000,0,641,641,cup_on_saucer
2025-12-24-21-39-43-719000,0,1093,1093,cup_on_saucer
2025-12-24-21-40-15-304000,0,799,799,cup_on_saucer
2025-12-24-21-40-57-448000,0,1140,1140,cup_on_saucer
2025-12-24-21-41-50-112000,0,1337,1337,cup_on_saucer
2025-12-24-21-42-18-452000,0,684,684,cup_on_saucer
2025-12-24-21-43-07-055000,0,683,683,cup_on_saucer
2025-12-24-23-05-56-052000,0,808,808,cup_on_saucer
2025-12-24-23-06-47-427000,0,975,975,cup_on_saucer
2025-12-24-23-07-53-685000,0,733,733,cup_on_saucer
2025-12-24-23-08-20-621000,0,836,836,cup_on_saucer
2025-12-24-23-09-04-959000,0,1628,1628,cup_on_saucer
2025-12-24-23-09-36-542000,0,685,685,cup_on_saucer
2025-12-24-23-10-03-786000,0,591,591,cup_on_saucer
2025-12-24-23-10-44-856000,0,1304,1304,cup_on_saucer
2025-12-24-23-12-06-843000,0,794,794,cup_on_saucer
2025-12-24-23-15-47-148000,0,1166,1166,cup_on_saucer
2025-12-24-23-16-08-300000,0,525,525,cup_on_saucer
2025-12-24-23-16-33-706000,0,705,705,cup_on_saucer
2025-12-24-23-17-00-186000,0,827,827,cup_on_saucer
2025-12-24-23-17-28-516000,0,699,699,cup_on_saucer
2025-12-24-23-19-24-315000,0,749,749,cup_on_saucer
