episode,start,end,frames,task
2026-01-22-16-07-27-629000,0,2834,2834,bag_groceries
2026-01-22-16-21-07-734000,0,3284,3284,bag_groceries
2026-01-22-16-22-39-974000,0,2869,2869,bag_groceries
2026-01-22-16-24-20-580000,0,2352,2352,bag_groceries
2026-01-22-16-32-08-218000,0,2555,2555,bag_groceries
2026-01-22-16-37-59-815000,0,2948,2948,bag_groceries
2026-01-22-23-12-50-553000,0,3267,3267,bag_groceries
2026-01-22-23-37-48-914000,0,2933,2933,bag_groceries
2026-01-22-23-40-53-502000,0,2502,2502,bag_groceries
2026-01-22-23-43-00-494000,0,2623,2623,bag_groceries
2026-01-22-23-44-36-510000,0,2587,2587,bag_groceries
2026-01-22-23-47-47-341000,0,2539,2539,bag_groceries
2026-01-22-23-49-19-726000,0,2948,2948,bag_groceries
2026-01-23-01-21-40-438000,0,2353,2353,bag_groceries
2026-01-23-01-23-56-390000,0,2840,2840,bag_groceries
2026-01-23-01-25-45-152000,0,2970,2970,bag_groceries
2026-01-23-01-27-19-948000,0,2744,2744,bag_groceries
2026-01-23-01-52-52-422000,0,3522,3522,bag_groceries
2026-01-23-01-53-56-091000,0,2501,2501,bag_groceries
2026-01-23-01-55-15-215000,0,2422,2422,bag_groceries
2026-01-23-01-56-36-306000,0,2346,2346,bag_groceries
2026-01-23-01-57-39-487000,0,2189,2189,bag_groceries
2026-01-23-01-58-41-914000,0,2396,2396,bag_groceries
2026-01-23-02-00-59-028000,0,2502,2502,bag_groceries
2026-01-23-02-02-18-927000,0,2628,2628,bag_groceries
2026-01-23-02-03-25-710000,0,2575,2575,bag_groceries
2026-01-23-02-04-27-061000,0,2407,2407,bag_groceries
2026-01-23-02-05-38-848000,0,2503,2503,bag_groceries
2026-01-23-02-08-37-091000,0,2915,2915,bag_groceries
2026-01-23-02-09-46-780000,0,2291,2291,bag_groceries
2026-01-23-02-12-17-480000,0,3012,3012,bag_groceries
2026-01-23-02-13-51-646000,0,3076,3076,bag_groceries
2026-01-23-02-17-07-512000,0,2843,2843,bag_groceries
2026-01-23-02-18-14-958000,0,2601,2601,bag_groceries
2026-01-23-02-56-20-031000,0,3164,3164,bag_groceries
2026-01-23-03-00-41-530000,0,2167,2167,bag_groceries
2026-01-23-03-02-27-923000,0,3264,3264,bag_groceries
2026-01-23-03-04-10-343000,0,3113,3113,bag_groceries
2026-01-23-03-05-43-810000,0,2371,2371,bag_groceries
2026-01-23-03-07-13-290000,0,2302,2302,bag_groceries
2026-01-23-03-08-37-442000,0,2437,2437,bag_groceries
2026-01-23-03-10-07-837000,0,3628,3628,bag_groceries
2026-01-23-03-12-21-495000,0,1946,1946,bag_groceries
2026-01-23-03-13-12-962000,0,1874,1874,bag_groceries
2026-01-23-03-14-28-619000,0,1968,1968,bag_groceries
2026-01-23-03-17-15-776000,0,2410,2410,bag_groceries
2026-01-23-03-18-15-145000,0,2334,2334,bag_groceries
2026-01-23-03-19-24-987000,0,2646,2646,bag_groceries
2026-01-23-03-20-25-100000,0,2409,2409,bag_groceries
2026-01-23-03-21-39-783000,0,2799,2799,bag_groceries
2026-01-23-03-23-52-946000,0,2588,2588,bag_groceries
2026-01-23-03-25-00-040000,0,2659,2659,bag_groceries
2026-01-23-03-26-07-110000,0,2522,2522,bag_groceries
2026-01-23-03-27-06-387000,0,2408,2408,bag_groceries
2026-01-23-03-28-06-336000,0,2228,2228,bag_groceries
2026-01-23-03-29-33-464000,0,2447,2447,bag_groceries
2026-01-23-03-30-44-982000,0,2735,2735,bag_groceries
2026-01-23-03-32-27-962000,0,2639,2639,bag_groceries
2026-01-23-03-34-39-618000,0,1905,1905,bag_groceries
2026-01-23-03-35-59-179000,0,2326,2326,bag_groceries
2026-01-23-03-37-10-360000,0,2349,2349,bag_groceries
2026-01-23-03-38-12-212000,0,2086,2086,bag_groceries
2026-01-23-03-39-34-291000,0,3195,3195,bag_groceries
2026-01-23-03-40-47-120000,0,2915,2915,bag_groceries
2026-01-23-03-42-15-842000,0,2892,2892,bag_groceries
2026-01-23-03-43-05-019000,0,1809,1809,bag_groceries
2026-01-23-03-44-22-342000,0,2778,2778,bag_groceries
2026-01-23-03-45-23-451000,0,2374,2374,bag_groceries
2026-01-23-03-47-17-390000,0,2247,2247,bag_groceries
2026-01-23-03-48-23-368000,0,1899,1899,bag_groceries
2026-01-23-03-49-20-624000,0,1793,1793,bag_groceries
2026-01-23-03-50-22-764000,0,2301,2301,bag_groceries
2026-01-23-03-51-23-500000,0,2337,2337,bag_groceries
2026-01-23-03-52-27-293000,0,2493,2493,bag_groceries
2026-01-23-03-53-28-796000,0,2263,2263,bag_groceries
2026-01-23-03-55-00-327000,0,2033,2033,bag_groceries
2026-01-23-03-57-14-595000,0,2240,2240,bag_groceries
2026-01-23-03-58-27-871000,0,2710,2710,bag_groceries
2026-01-23-04-00-43-309000,0,3030,3030,bag_groceries
2026-01-23-04-01-49-115000,0,2281,2281,bag_groceries
2026-01-23-04-04-02-309000,0,3091,3091,bag_groceries
2026-01-23-04-04-57-769000,0,1819,1819,bag_groceries
2026-01-23-04-06-02-600000,0,1947,1947,bag_groceries
2026-01-23-04-07-08-374000,0,1508,1508,bag_groceries
2026-01-23-04-10-12-175000,0,2178,2178,bag_groceries
2026-01-23-04-11-32-870000,0,2991,2991,bag_groceries
2026-01-23-04-12-23-943000,0,1680,1680,bag_groceries
2026-01-23-04-14-46-064000,0,1836,1836,bag_groceries
2026-01-23-04-16-50-211000,0,1788,1788,bag_groceries
2026-01-23-04-17-48-922000,0,2046,2046,bag_groceries
2026-01-23-04-18-53-828000,0,1882,1882,bag_groceries
2026-01-23-14-22-25-900000,0,1999,1999,bag_groceries
2026-01-23-14-25-06-710000,0,1465,1465,bag_groceries
2026-01-23-14-26-48-257000,0,1797,1797,bag_groceries
2026-01-23-14-47-10-284000,0,1547,1547,bag_groceries
2026-01-23-14-48-17-786000,0,2105,2105,bag_groceries
2026-01-23-14-49-27-779000,0,1768,1768,bag_groceries
2026-01-23-14-51-08-864000,0,1173,1173,bag_groceries
2026-01-23-14-52-04-941000,0,1372,1372,bag_groceries
2026-01-23-14-53-12-744000,0,1450,1450,bag_groceries
2025-12-24-19-09-03-435000,0,1256,1256,cup_on_saucer
2025-12-24-19-09-47-620000,0,1188,1188,cup_on_saucer
2025-12-24-19-10-16-556000,0,895,895,cup_on_saucer
2025-12-24-19-10-45-284000,0,743,743,cup_on_saucer
2025-12-24-19-11-22-281000,0,1151,1151,cup_on_saucer
2025-12-24-19-12-01-761000,0,924,924,cup_on_saucer
2025-12-24-19-12-51-291000,0,1093,1093,cup_on_saucer
2025-12-24-19-13-31-335000,0,1263,1263,cup_on_saucer
2025-12-24-19-14-12-076000,0,1442,1442,cup_on_saucer
2025-12-24-19-14-45-592000,0,864,864,cup_on_saucer
2025-12-24-19-15-23-956000,0,1098,1098,cup_on_saucer
2025-12-24-19-16-23-794000,0,1140,1140,cup_on_saucer
2025-12-24-19-19-40-723000,0,876,876,cup_on_saucer
2025-12-24-19-20-21-311000,0,1016,1016,cup_on_saucer
2025-12-24-19-21-08-833000,0,1193,1193,cup_on_saucer
2025-12-24-19-21-46-437000,0,1243,1243,cup_on_saucer
2025-12-24-19-22-19-224000,0,920,920,cup_on_saucer
2025-12-24-19-22-53-478000,0,1007,1007,cup_on_saucer
2025-12-24-19-23-39-921000,0,1619,1619,cup_on_saucer
2025-12-24-19-24-33-457000,0,1223,1223,cup_on_saucer
2025-12-24-19-25-13-320000,0,1192,1192,cup_on_saucer
2025-12-24-19-25-53-355000,0,1492,1492,cup_on_saucer
2025-12-24-19-26-36-588000,0,1267,1267,cup_on_saucer
2025-12-24-19-27-13-386000,0,1191,1191,cup_on_saucer
2025-12-24-19-27-52-246000,0,860,860,cup_on_saucer
2025-12-24-19-28-28-389000,0,971,971,cup_on_saucer
2025-12-24-19-29-17-263000,0,1225,1225,cup_on_saucer
2025-12-24-19-29-53-442000,0,940,940,cup_on_saucer
2025-12-24-19-30-35-349000,0,979,979,cup_on_saucer
2025-12-24-19-31-13-624000,0,1200,1200,cup_on_saucer
2025-12-24-19-31-44-885000,0,1120,1120,cup_on_saucer
2025-12-24-19-32-24-222000,0,1284,1284,cup_on_saucer
2025-12-24-19-32-56-482000,0,1021,1021,cup_on_saucer
2025-12-24-19-33-35-512000,0,1061,1061,cup_on_saucer
2025-12-24-19-34-20-090000,0,610,610,cup_on_saucer
2025-12-24-19-35-04-037000,0,1228,1228,cup_on_saucer
2025-12-24-19-35-36-675000,0,1147,1147,cup_on_saucer
2025-12-24-19-36-56-086000,0,2763,2763,cup_on_saucer
2025-12-24-19-37-22-667000,0,991,991,cup_on_saucer
2025-12-24-21-02-28-110000,0,829,829,cup_on_saucer
2025-12-24-21-02-59-670000,0,891,891,cup_on_saucer
2025-12-24-21-03-29-655000,0,717,717,cup_on_saucer
2025-12-24-21-03-55-938000,0,717,717,cup_on_saucer
2025-12-24-21-04-26-333000,0,752,752,cup_on_saucer
2025-12-24-21-05-06-362000,0,651,651,cup_on_saucer
2025-12-24-21-05-31-121000,0,682,682,cup_on_saucer
2025-12-24-21-05-54-417000,0,628,628,cup_on_saucer
2025-12-24-21-06-22-503000,0,707,707,cup_on_saucer
2025-12-24-21-09-15-920000,0,1064,1064,cup_on_saucer
2025-12-24-21-10-58-066000,0,778,778,cup_on_saucer
2025-12-24-21-11-30-025000,0,1003,1003,cup_on_saucer
2025-12-24-21-11-59-919000,0,812,812,cup_on_saucer
2025-12-24-21-12-42-667000,0,893,893,cup_on_saucer
2025-12-24-21-13-23-617000,0,1411,1411,cup_on_saucer
2025-12-24-21-13-53-804000,0,1039,1039,cup_on_saucer
2025-12-24-21-15-12-837000,0,893,893,cup_on_saucer
2025-12-24-21-15-42-929000,0,942,942,cup_on_saucer
2025-12-24-21-16-10-949000,0,662,662,cup_on_saucer
2025-12-24-21-17-13-211000,0,782,782,cup_on_saucer
2025-12-24-21-17-46-347000,0,999,999,cup_on_saucer
2025-12-24-21-18-20-061000,0,1079,1079,cup_on_saucer
2025-12-24-21-18-54-968000,0,1073,1073,cup_on_saucer
2025-12-24-21-19-22-774000,0,755,755,cup_on_saucer
2025-12-24-21-20-03-459000,0,837,837,cup_on_saucer
2025-12-24-21-20-33-911000,0,498,498,cup_on_saucer
2025-12-24-21-21-33-674000,0,1932,1932,cup_on_saucer
2025-12-24-21-22-08-222000,0,1099,1099,cup_on_saucer
2025-12-24-21-22-38-890000,0,942,942,cup_on_saucer
2025-12-24-21-23-17-095000,0,965,965,cup_on_saucer
2025-12-24-21-24-02-620000,0,1141,1141,cup_on_saucer
2025-12-24-21-24-52-876000,0,1211,1211,cup_on_saucer
2025-12-24-21-25-42-363000,0,876,876,cup_on_saucer
2025-12-24-21-26-45-422000,0,927,927,cup_on_saucer
2025-12-24-21-27-14-335000,0,796,796,cup_on_saucer
2025-12-24-21-28-00-985000,0,1628,1628,cup_on_saucer
2025-12-24-21-28-28-463000,0,844,844,cup_on_saucer
2025-12-24-21-28-53-988000,0,732,732,cup_on_saucer
2025-12-24-21-38-10-269000,0,833,833,cup_on_saucer
2025-12-24-21-38-41-366000,0,641,641,cup_on_saucer
2025-12-24-21-39-43-719000,0,1093,1093,cup_on_saucer
2025-12-24-21-40-15-304000,0,799,799,cup_on_saucer
2025-12-24-21-40-57-448000,0,1140,1140,cup_on_saucer
2025-12-24-21-41-50-112000,0,1337,1337,cup_on_saucer
2025-12-24-21-42-18-452000,0,684,684,cup_on_saucer
2025-12-24-21-43-07-055000,0,683,683,cup_on_saucer
2025-12-24-23-05-56-052000,0,808,808,cup_on_saucer
2025-12-24-23-06-47-427000,0,975,975,cup_on_saucer
2025-12-24-23-07-53-685000,0,733,733,cup_on_saucer
2025-12-24-23-08-20-621000,0,836,836,cup_on_saucer
2025-12-24-23-09-04-959000,0,1628,1628,cup_on_saucer
2025-12-24-23-09-36-542000,0,685,685,cup_on_saucer
2025-12-24-23-10-03-786000,0,591,591,cup_on_saucer
2025-12-24-23-10-44-856000,0,1304,1304,cup_on_saucer
2025-12-24-23-12-06-843000,0,794,794,cup_on_saucer
2025-12-24-23-15-47-148000,0,1166,1166,cup_on_saucer
2025-12-24-23-16-08-300000,0,525,525,cup_on_saucer
2025-12-24-23-16-33-706000,0,705,705,cup_on_saucer
2025-12-24-23-17-00-186000,0,827,827,cup_on_saucer
2025-12-24-23-17-28-516000,0,699,699,cup_on_saucer
2025-12-24-23-19-24-315000,0,749,749,cup_on_saucer
